Species,Specimen ID,Observed FL (inches),FFL mm,GSMFC Margin,Whole Weight g,Whole Weight Gutted g,Macro sex,Edge type PC,Fishing Mode,Fishery,Source Code,Sampling Unit ID,Barcode,Month,Catch Month,Catch Day,Capture Date,State,County Landed,Headboat Area,NMFS Statistical Grid,Gear Code,Gear Name,Gear Group Code,Depth m,Observed TL in,Observed Natural TL mm,Observed FL (cm),Area Landed,GulfSide,DNA Tube,Otolith tube,Standard Length mm,SEAMAP Start Date/Time,SEAMAP End Date/Time,SEAMAP Start Depth,SEAMAP End Depth,PC Coll #,Notes,Capture Date,Catch Year,Ring Count,PC Edge type,Numeric Capture Date,Ring Count+Edge Type (Calender Age),Year Fraction,Year Fraction Check,GS_Edge Type,Annuli,Specimen ID,Final Age,,,,
Lutjanus synagris,2021LS-SSMP-8,5.71,145,2,,,M,,Trawling,FI,SEAMAP,,MTB2108349,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,156,,,U,,,120,6/21/2021 11:07,6/21/2021 11:37,14.1,14.2,,,6/21/2021,2021,1,4,44368,1,0.03,121.47296,2,1,2021LS-SSMP-8,0.972621492,,,,
Lutjanus synagris,2021LS-SSMP-14,6.3,160,2,,,M,,Trawling,FI,SEAMAP,,MTB2108352,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,174,,,U,,,132,6/21/2021 13:18,6/21/2021 13:48,18.2,29.867,,,6/21/2021,2021,1,4,44368,1,0.03,121.47296,2,1,2021LS-SSMP-14,0.972621492,,,,
Lutjanus synagris,2021LS-SSMP-13,6.85,174,2,,,M,,Trawling,FI,SEAMAP,,MTB2108353,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,190,,,U,,,146,6/21/2021 13:18,6/21/2021 13:48,18.2,29.867,,,6/21/2021,2021,1,4,44368,1,0.03,121.47296,2,1,2021LS-SSMP-13,0.972621492,,,,
Lutjanus synagris,2021LS-SSMP-12,5.94,151,2,,,F,,Trawling,FI,SEAMAP,,MTB2108354,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,162,,,U,,,128,6/21/2021 13:18,6/21/2021 13:48,18.2,29.867,,,6/21/2021,2021,1,4,44368,1,0.03,121.47296,2,1,2021LS-SSMP-12,0.972621492,,,,
Lutjanus synagris,2021LS-SSMP-11,6.14,156,1,,,F,,Trawling,FI,SEAMAP,,MTB2108356,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,170,,,U,,,132,6/21/2021 13:18,6/21/2021 13:48,18.2,29.867,,,6/21/2021,2021,1,2,44368,1,0.03,121.47296,1,1,2021LS-SSMP-11,0.972621492,,,,
Lutjanus synagris,2021LS-SSMP-10,6.38,162,2,,,M,,Trawling,FI,SEAMAP,,MTB2108357,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,174,,,U,,,134,6/21/2021 13:18,6/21/2021 13:48,18.2,29.867,,,6/21/2021,2021,1,4,44368,1,0.03,121.47296,2,1,2021LS-SSMP-10,0.972621492,,,,
Lutjanus synagris,2021LS-SSMP-16,6.18,157,2,,,M,,Trawling,FI,SEAMAP,,MTB2108359,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,170,,,U,,,132,6/21/2021 15:15,6/21/2021 15:45,20.5,21.1,,,6/21/2021,2021,1,4,44368,1,0.03,121.47296,2,1,2021LS-SSMP-16,0.972621492,,,,
Lutjanus synagris,2021LS-SSMP-18,6.02,153,2,,,M,,Trawling,FI,SEAMAP,,MTB2108360,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,165,,,U,,,127,6/21/2021 15:15,6/21/2021 15:45,20.5,21.1,,,6/21/2021,2021,1,4,44368,1,0.03,121.47296,2,1,2021LS-SSMP-18,0.972621492,,,,
Lutjanus synagris,2021LS-SSMP-15,6.57,167,1,,,F,,Trawling,FI,SEAMAP,,MTB2108361,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,181,,,U,,,138,6/21/2021 15:15,6/21/2021 15:45,20.5,21.1,,,6/21/2021,2021,1,2,44368,1,0.03,121.47296,1,1,2021LS-SSMP-15,0.972621492,,,,
Lutjanus synagris,2021LS-SSMP-22,6.65,169,1,,,F,,Trawling,FI,SEAMAP,,MTB2108365,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,182,,,U,,,144,6/21/2021 17:08,6/21/2021 17:38,20.4,20.3,,,6/21/2021,2021,1,2,44368,1,0.03,121.47296,1,1,2021LS-SSMP-22,0.972621492,,,,
Lutjanus synagris,2021LS-SSMP-21,7.05,179,1,,,M,,Trawling,FI,SEAMAP,,MTB2108367,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,195,,,U,,,150,6/21/2021 17:08,6/21/2021 17:38,20.4,20.3,,,6/21/2021,2021,1,2,44368,1,0.03,121.47296,1,1,2021LS-SSMP-21,0.972621492,,,,
Lutjanus synagris,2021LS-SSMP-19,6.61,168,1,,,F,,Trawling,FI,SEAMAP,,MTB2108368,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,182,,,U,,,140,6/21/2021 17:08,6/21/2021 17:38,20.4,20.3,,,6/21/2021,2021,1,2,44368,1,0.03,121.47296,1,1,2021LS-SSMP-19,0.972621492,,,,
Lutjanus synagris,2021LS-SSMP-25,6.89,175,1,,,M,,Trawling,FI,SEAMAP,,MTB2108375,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,180,,,U,,,144,6/21/2021 20:11,6/21/2021 20:41,15.3,15,,,6/21/2021,2021,1,2,44368,1,0.03,121.47296,1,1,2021LS-SSMP-25,0.972621492,,,,
Lutjanus synagris,2021LS-SSMP-24,6.22,158,1,,,F,,Trawling,FI,SEAMAP,,MTB2108377,June,6,21,6/21/2021,FL,UNK,,,,Trawl,,,,171,,,U,,,132,6/21/2021 20:11,6/21/2021 20:41,15.3,15,,,6/21/2021,2021,1,2,44368,1,0.03,121.47296,1,1,2021LS-SSMP-24,0.972621492,,,,
